project,first,last,min,max,change
U-235 Gamma Soil,0.9097472924187726,0.9674185463659147,0.8072033898305085,0.9780564263322883,0.05767125394714212
Pb-210 Beta Water,0.6503400218285619,0.7067669172932332,0.6503400218285619,0.9247648902821317,0.05642689546467128
Pa-234m Gamma Soil,0.9386281588447655,0.9799498746867168,0.8983050847457628,0.9799498746867168,0.04132171584195132
Cs-137 Gamma Water,0.17677469135802473,0.20551378446115287,0.1347391744503658,0.20551378446115287,0.028739093103128138
Ra-226 Alpha Water,0.890282131661442,0.8972431077694236,0.8453389830508474,0.8972431077694236,0.006960976107981631
Co-60 Gamma Water,0.19999999999999996,0.19799498746867172,0.16614420062695923,0.19999999999999996,-0.002005012531328232
Cs-134 Gamma Water,0.25679012345679014,0.24060150375939848,0.16776895306859205,0.25679012345679014,-0.01618861969739166
Th-234 Gamma Soil,0.895306859205776,0.8771929824561404,0.7394067796610169,0.9122257053291536,-0.018113876749635605
Pb-210 Gamma Soil,0.776173285198556,0.7393483709273183,0.7393483709273183,0.8213166144200628,-0.036824914271237685
Sr-90 Beta Water,0.6666666666666667,0.6115288220551378,0.6115288220551378,0.6865203761755485,-0.05513784461152893
Bi-214 Gamma Soil,0.8050541516245487,0.7493734335839599,0.576271186440678,0.8050541516245487,-0.05568071804058883
U-238 Gamma Soil,0.9711191335740071,0.894736842105263,0.8326271186440679,0.9711191335740071,-0.07638229146874409
Pb-214 Gamma Soil,0.8158844765342961,0.736842105263158,0.548728813559322,0.8158844765342961,-0.07904237127113811
Po-210 Alpha Water,0.9130292090580899,0.8245614035087719,0.8245614035087719,0.9153605015673981,-0.08846780554931799
Gross Alpha Water,0.6899721856243595,0.5889724310776943,0.526268081731314,0.6899721856243595,-0.10099975454666521
Am-241 Gamma Water,0.3645353479516,0.2507836990595611,0.2507836990595611,0.39151148141482367,-0.11375164889203887
Bi-212 Gamma Soil,0.8592057761732853,0.7293233082706767,0.6673728813559322,0.8746081504702194,-0.1298824679026086
Th-232 Gamma Soil,0.9711191335740073,0.824561403508772,0.824561403508772,0.9711191335740073,-0.1465577300652352
Gross Beta Water,0.7867901234567901,0.6290726817042607,0.5267208529649166,0.7867901234567901,-0.15771744175252944
Sr-90 Beta Surface,0.8282888336396066,0.6666666666666667,0.6666666666666667,0.8282888336396066,-0.16162216697293985
Ra-226 Gamma Soil,0.8700361010830326,0.6942355889724311,0.5466101694915254,0.8700361010830326,-0.17580051211060155
H-3 Beta Water,0.8296296296296296,0.6165413533834587,0.6165413533834587,0.8296296296296296,-0.21308827624617088
Tl-208 Gamma Soil,0.8267148014440433,0.6040100250626567,0.6040100250626567,0.8267148014440433,-0.22270477638138664
Pb-212 Gamma Soil,0.819494584837545,0.5764411027568923,0.521186440677966,0.819494584837545,-0.2430534820806527
Ac-228 Gamma Soil,0.7617328519855595,0.4837092731829574,0.43644067796610164,0.7617328519855595,-0.2780235788026021
K-40 Gamma Soil,0.631768953068592,0.3533834586466166,0.3533834586466166,0.631768953068592,-0.27838549442197547
Cs-137 Gamma Soil,0.8231046931407943,0.3358395989974937,0.3358395989974937,0.8231046931407943,-0.48726509414330055
