project,n_total,our_abs_bias,our_rel_bias,our_rank,our_percentile
Cs-134 Gamma Surface,339,0.0,0.0,1,0.2949852507374631
Ra-226 Gamma Sediment,279,0.0,0.0,1,0.35842293906810035
Pb-212 Gamma Soil,270,0.0,0.0,1,0.3703703703703704
Bi-214 Gamma Sediment,260,0.0,0.0,1,0.38461538461538464
Pb-214 Gamma Sediment,256,0.0,0.0,1,0.390625
Ra-226 Gamma Water,133,0.0,0.0,1,0.7518796992481203
Ra-226 Alpha Water,107,0.23,0.23,3,2.803738317757009
H-3 Beta Water,198,0.51,0.51,11,5.555555555555555
Sr-90 Beta Water,192,0.51,0.51,11,5.729166666666666
Ac-228 Gamma Soil,294,0.77,-0.77,17,5.782312925170068
Tl-208 Gamma Soil,231,0.86,-0.86,18,7.792207792207792
Na-22 Gamma Water,353,1.05,-1.05,33,9.34844192634561
Bi-212 Gamma Soil,200,1.54,-1.54,20,10.0
U-238 ICP-MS Water,72,1.03,-1.03,12,16.666666666666664
Eu-152 Gamma Water,382,1.35,1.35,64,16.75392670157068
Total U ICP-MS Water,76,1.02,-1.02,14,18.421052631578945
Tl-208 Gamma Sediment,233,3.64,-3.64,51,21.888412017167383
U-235 ICP-MS Water,65,1.88,-1.88,18,27.692307692307693
K-40 Gamma Sediment,381,4.7,4.7,109,28.608923884514436
Bi-212 Gamma Sediment,205,3.26,-3.26,59,28.780487804878046
Ra-226 Gamma Soil,275,4.86,4.86,85,30.909090909090907
Bi-214 Gamma Soil,264,4.86,4.86,84,31.818181818181817
Pb-212 Gamma Sediment,269,4.56,-4.56,90,33.457249070631974
Sr-90 Beta Surface,197,5.18,-5.18,66,33.50253807106599
Pb-214 Gamma Soil,261,4.86,4.86,90,34.48275862068966
Ac-228 Gamma Sediment,292,3.91,-3.91,110,37.67123287671233
Pb-210 Beta Water,63,12.65,12.65,24,38.095238095238095
Th-234 Gamma Sediment,138,13.82,13.82,64,46.3768115942029
Th-234 Gamma Soil,144,11.89,11.89,88,61.111111111111114
Po-210 Alpha Water,77,13.63,13.63,48,62.33766233766234
