labcode,a_count_2022,total_count_2022,a_rate_2022,rank_2022,is_special,special_type,x,color,size
14,35,37,94.5945945945946,1,False,normal,0,skyblue,10
247,34,37,91.8918918918919,2,False,normal,1,skyblue,10
217,32,32,100.0,3,False,normal,2,skyblue,10
24,31,32,96.875,4,False,normal,3,skyblue,10
8,30,30,100.0,5,True,year_special,4,green,60
312,27,28,96.42857142857143,6,False,normal,5,skyblue,10
68,27,28,96.42857142857143,6,False,normal,6,skyblue,10
221,26,27,96.29629629629629,8,False,normal,7,skyblue,10
230,25,25,100.0,9,False,normal,8,skyblue,10
239,25,26,96.15384615384616,9,False,normal,9,skyblue,10
47,25,26,96.15384615384616,9,False,normal,10,skyblue,10
133,25,26,96.15384615384616,9,False,normal,11,skyblue,10
118,25,25,100.0,9,False,normal,12,skyblue,10
7,25,26,96.15384615384616,9,False,normal,13,skyblue,10
119,24,24,100.0,15,False,normal,14,skyblue,10
49,24,26,92.3076923076923,15,False,normal,15,skyblue,10
171,24,24,100.0,15,False,normal,16,skyblue,10
83,24,29,82.75862068965517,15,False,normal,17,skyblue,10
220,23,25,92.0,19,False,normal,18,skyblue,10
214,23,30,76.66666666666667,19,False,normal,19,skyblue,10
52,23,26,88.46153846153845,19,False,normal,20,skyblue,10
60,23,26,88.46153846153845,19,False,normal,21,skyblue,10
31,23,23,100.0,19,False,normal,22,skyblue,10
50,23,24,95.83333333333334,19,False,normal,23,skyblue,10
157,23,25,92.0,19,False,normal,24,skyblue,10
13,23,29,79.3103448275862,19,False,normal,25,skyblue,10
88,23,23,100.0,19,False,normal,26,skyblue,10
156,23,23,100.0,19,False,normal,27,skyblue,10
309,22,22,100.0,29,False,normal,28,skyblue,10
261,22,22,100.0,29,False,normal,29,skyblue,10
58,22,22,100.0,29,False,normal,30,skyblue,10
123,22,22,100.0,29,False,normal,31,skyblue,10
253,22,24,91.66666666666666,29,False,normal,32,skyblue,10
216,22,27,81.48148148148148,29,False,normal,33,skyblue,10
204,22,23,95.65217391304348,29,False,normal,34,skyblue,10
17,22,22,100.0,29,False,normal,35,skyblue,10
16,22,22,100.0,29,False,normal,36,skyblue,10
128,22,25,88.0,29,False,normal,37,skyblue,10
264,21,21,100.0,39,False,normal,38,skyblue,10
272,21,30,70.0,39,False,normal,39,skyblue,10
159,21,24,87.5,39,False,normal,40,skyblue,10
96,21,22,95.45454545454545,39,False,normal,41,skyblue,10
