labcode,count_2025,rank_2025,is_special,special_type,x,color,size
52,28,1,False,normal,0,skyblue,10
15,26,2,True,year_special,1,orange,60
128,26,2,False,normal,2,skyblue,10
191,26,2,False,normal,3,skyblue,10
491,26,2,False,normal,4,skyblue,10
159,26,2,False,normal,5,skyblue,10
433,25,7,False,normal,6,skyblue,10
537,25,7,False,normal,7,skyblue,10
71,25,7,False,normal,8,skyblue,10
19,24,10,False,normal,9,skyblue,10
38,24,10,False,normal,10,skyblue,10
58,24,10,False,normal,11,skyblue,10
443,24,10,False,normal,12,skyblue,10
313,23,14,False,normal,13,skyblue,10
166,23,14,False,normal,14,skyblue,10
276,23,14,False,normal,15,skyblue,10
371,23,14,False,normal,16,skyblue,10
31,23,14,False,normal,17,skyblue,10
315,23,14,False,normal,18,skyblue,10
204,22,20,False,normal,19,skyblue,10
393,22,20,False,normal,20,skyblue,10
527,22,20,False,normal,21,skyblue,10
410,22,20,False,normal,22,skyblue,10
533,22,20,False,normal,23,skyblue,10
347,22,20,False,normal,24,skyblue,10
516,22,20,False,normal,25,skyblue,10
25,22,20,False,normal,26,skyblue,10
90,22,20,False,normal,27,skyblue,10
230,22,20,False,normal,28,skyblue,10
152,22,20,False,normal,29,skyblue,10
319,22,20,False,normal,30,skyblue,10
81,21,32,False,normal,31,skyblue,10
133,21,32,False,normal,32,skyblue,10
110,21,32,False,normal,33,skyblue,10
401,21,32,False,normal,34,skyblue,10
63,21,32,False,normal,35,skyblue,10
232,21,32,False,normal,36,skyblue,10
405,21,32,False,normal,37,skyblue,10
187,21,32,False,normal,38,skyblue,10
55,21,32,False,normal,39,skyblue,10
65,21,32,False,normal,40,skyblue,10
402,21,32,False,normal,41,skyblue,10
207,21,32,False,normal,42,skyblue,10
463,20,44,False,normal,43,skyblue,10
341,20,44,False,normal,44,skyblue,10
114,20,44,False,normal,45,skyblue,10
175,20,44,False,normal,46,skyblue,10
379,20,44,False,normal,47,skyblue,10
156,20,44,False,normal,48,skyblue,10
355,20,44,False,normal,49,skyblue,10
528,20,44,False,normal,50,skyblue,10
119,20,44,False,normal,51,skyblue,10
170,20,44,False,normal,52,skyblue,10
523,20,44,False,normal,53,skyblue,10
303,20,44,False,normal,54,skyblue,10
414,20,44,False,normal,55,skyblue,10
181,20,44,False,normal,56,skyblue,10
344,20,44,False,normal,57,skyblue,10
42,20,44,False,normal,58,skyblue,10
287,20,44,False,normal,59,skyblue,10
53,20,44,False,normal,60,skyblue,10
208,20,44,False,normal,61,skyblue,10
66,19,63,False,normal,62,skyblue,10
508,19,63,False,normal,63,skyblue,10
312,19,63,False,normal,64,skyblue,10
346,19,63,False,normal,65,skyblue,10
286,19,63,False,normal,66,skyblue,10
213,19,63,False,normal,67,skyblue,10
475,19,63,False,normal,68,skyblue,10
525,19,63,False,normal,69,skyblue,10
69,19,63,False,normal,70,skyblue,10
72,19,63,False,normal,71,skyblue,10
348,19,63,False,normal,72,skyblue,10
283,19,63,False,normal,73,skyblue,10
220,18,75,False,normal,74,skyblue,10
370,18,75,False,normal,75,skyblue,10
311,18,75,False,normal,76,skyblue,10
382,18,75,False,normal,77,skyblue,10
441,18,75,False,normal,78,skyblue,10
291,18,75,False,normal,79,skyblue,10
60,18,75,False,normal,80,skyblue,10
262,18,75,False,normal,81,skyblue,10
445,18,75,False,normal,82,skyblue,10
49,18,75,False,normal,83,skyblue,10
529,18,75,False,normal,84,skyblue,10
483,18,75,False,normal,85,skyblue,10
295,18,75,False,normal,86,skyblue,10
238,17,88,False,normal,87,skyblue,10
165,17,88,False,normal,88,skyblue,10
21,17,88,False,normal,89,skyblue,10
161,17,88,False,normal,90,skyblue,10
555,17,88,False,normal,91,skyblue,10
536,17,88,False,normal,92,skyblue,10
278,17,88,False,normal,93,skyblue,10
412,17,88,False,normal,94,skyblue,10
2,17,88,False,normal,95,skyblue,10
113,17,88,False,normal,96,skyblue,10
70,17,88,False,normal,97,skyblue,10
78,17,88,False,normal,98,skyblue,10
214,17,88,False,normal,99,skyblue,10
363,17,88,False,normal,100,skyblue,10
509,17,88,False,normal,101,skyblue,10
132,17,88,False,normal,102,skyblue,10
304,17,88,False,normal,103,skyblue,10
205,17,88,False,normal,104,skyblue,10
314,16,106,False,normal,105,skyblue,10
217,16,106,False,normal,106,skyblue,10
150,16,106,False,normal,107,skyblue,10
258,16,106,False,normal,108,skyblue,10
261,16,106,False,normal,109,skyblue,10
227,16,106,False,normal,110,skyblue,10
484,16,106,False,normal,111,skyblue,10
249,16,106,False,normal,112,skyblue,10
268,16,106,False,normal,113,skyblue,10
100,16,106,False,normal,114,skyblue,10
178,16,106,False,normal,115,skyblue,10
428,16,106,False,normal,116,skyblue,10
145,16,106,False,normal,117,skyblue,10
79,16,106,False,normal,118,skyblue,10
408,16,106,False,normal,119,skyblue,10
553,16,106,False,normal,120,skyblue,10
391,16,106,False,normal,121,skyblue,10
200,16,106,False,normal,122,skyblue,10
322,16,106,False,normal,123,skyblue,10
466,16,106,False,normal,124,skyblue,10
384,16,106,False,normal,125,skyblue,10
299,16,106,False,normal,126,skyblue,10
242,16,106,False,normal,127,skyblue,10
290,16,106,False,normal,128,skyblue,10
179,16,106,False,normal,129,skyblue,10
264,16,106,False,normal,130,skyblue,10
440,16,106,False,normal,131,skyblue,10
34,16,106,False,normal,132,skyblue,10
492,16,106,False,normal,133,skyblue,10
32,16,106,False,normal,134,skyblue,10
403,15,136,False,normal,135,skyblue,10
197,15,136,False,normal,136,skyblue,10
411,15,136,False,normal,137,skyblue,10
535,15,136,False,normal,138,skyblue,10
97,15,136,False,normal,139,skyblue,10
83,15,136,False,normal,140,skyblue,10
13,15,136,False,normal,141,skyblue,10
338,15,136,False,normal,142,skyblue,10
127,15,136,False,normal,143,skyblue,10
437,15,136,False,normal,144,skyblue,10
75,15,136,False,normal,145,skyblue,10
41,15,136,False,normal,146,skyblue,10
267,15,136,False,normal,147,skyblue,10
395,15,136,False,normal,148,skyblue,10
514,15,136,False,normal,149,skyblue,10
252,14,151,False,normal,150,skyblue,10
364,14,151,False,normal,151,skyblue,10
218,14,151,False,normal,152,skyblue,10
446,14,151,False,normal,153,skyblue,10
281,14,151,False,normal,154,skyblue,10
134,14,151,False,normal,155,skyblue,10
223,14,151,False,normal,156,skyblue,10
368,14,151,False,normal,157,skyblue,10
57,14,151,False,normal,158,skyblue,10
255,14,151,False,normal,159,skyblue,10
235,14,151,False,normal,160,skyblue,10
147,14,151,False,normal,161,skyblue,10
40,14,151,False,normal,162,skyblue,10
532,14,151,False,normal,163,skyblue,10
124,14,151,False,normal,164,skyblue,10
398,14,151,False,normal,165,skyblue,10
256,14,151,False,normal,166,skyblue,10
11,14,151,False,normal,167,skyblue,10
94,14,151,False,normal,168,skyblue,10
306,14,151,False,normal,169,skyblue,10
288,14,151,False,normal,170,skyblue,10
350,14,151,False,normal,171,skyblue,10
73,14,151,False,normal,172,skyblue,10
270,14,151,False,normal,173,skyblue,10
539,14,151,False,normal,174,skyblue,10
140,14,151,False,normal,175,skyblue,10
28,14,151,False,normal,176,skyblue,10
231,13,178,False,normal,177,skyblue,10
206,13,178,False,normal,178,skyblue,10
434,13,178,False,normal,179,skyblue,10
439,13,178,False,normal,180,skyblue,10
325,13,178,False,normal,181,skyblue,10
326,13,178,False,normal,182,skyblue,10
285,13,178,False,normal,183,skyblue,10
122,13,178,False,normal,184,skyblue,10
272,13,178,False,normal,185,skyblue,10
307,13,178,False,normal,186,skyblue,10
183,13,178,False,normal,187,skyblue,10
155,13,178,False,normal,188,skyblue,10
260,13,178,False,normal,189,skyblue,10
465,13,178,False,normal,190,skyblue,10
417,13,178,False,normal,191,skyblue,10
192,13,178,False,normal,192,skyblue,10
215,13,178,False,normal,193,skyblue,10
250,13,178,False,normal,194,skyblue,10
369,13,178,False,normal,195,skyblue,10
429,13,178,False,normal,196,skyblue,10
507,13,178,False,normal,197,skyblue,10
293,13,178,False,normal,198,skyblue,10
158,13,178,False,normal,199,skyblue,10
495,13,178,False,normal,200,skyblue,10
381,13,178,False,normal,201,skyblue,10
317,13,178,False,normal,202,skyblue,10
453,13,178,False,normal,203,skyblue,10
50,13,178,False,normal,204,skyblue,10
357,13,178,False,normal,205,skyblue,10
323,13,178,False,normal,206,skyblue,10
420,13,178,False,normal,207,skyblue,10
407,13,178,False,normal,208,skyblue,10
377,13,178,False,normal,209,skyblue,10
292,13,178,False,normal,210,skyblue,10
498,13,178,False,normal,211,skyblue,10
163,13,178,False,normal,212,skyblue,10
184,12,214,False,normal,213,skyblue,10
419,12,214,False,normal,214,skyblue,10
421,12,214,False,normal,215,skyblue,10
105,12,214,False,normal,216,skyblue,10
330,12,214,False,normal,217,skyblue,10
302,12,214,False,normal,218,skyblue,10
277,12,214,False,normal,219,skyblue,10
482,12,214,False,normal,220,skyblue,10
423,12,214,False,normal,221,skyblue,10
194,12,214,False,normal,222,skyblue,10
203,12,214,False,normal,223,skyblue,10
454,12,214,False,normal,224,skyblue,10
356,12,214,False,normal,225,skyblue,10
198,12,214,False,normal,226,skyblue,10
172,12,214,False,normal,227,skyblue,10
254,12,214,False,normal,228,skyblue,10
487,12,214,False,normal,229,skyblue,10
501,12,214,False,normal,230,skyblue,10
328,12,214,False,normal,231,skyblue,10
104,12,214,False,normal,232,skyblue,10
116,12,214,False,normal,233,skyblue,10
9,12,214,False,normal,234,skyblue,10
265,12,214,False,normal,235,skyblue,10
300,12,214,False,normal,236,skyblue,10
85,12,214,False,normal,237,skyblue,10
530,12,214,False,normal,238,skyblue,10
386,12,214,False,normal,239,skyblue,10
45,12,214,False,normal,240,skyblue,10
253,12,214,False,normal,241,skyblue,10
477,12,214,False,normal,242,skyblue,10
506,12,214,False,normal,243,skyblue,10
435,12,214,False,normal,244,skyblue,10
376,11,246,False,normal,245,skyblue,10
180,11,246,False,normal,246,skyblue,10
496,11,246,False,normal,247,skyblue,10
168,11,246,False,normal,248,skyblue,10
247,11,246,False,normal,249,skyblue,10
111,11,246,False,normal,250,skyblue,10
310,11,246,False,normal,251,skyblue,10
452,11,246,False,normal,252,skyblue,10
151,11,246,False,normal,253,skyblue,10
257,11,246,False,normal,254,skyblue,10
211,11,246,False,normal,255,skyblue,10
279,11,246,False,normal,256,skyblue,10
82,11,246,False,normal,257,skyblue,10
274,11,246,False,normal,258,skyblue,10
35,11,246,False,normal,259,skyblue,10
332,11,246,False,normal,260,skyblue,10
241,11,246,False,normal,261,skyblue,10
24,11,246,False,normal,262,skyblue,10
37,11,246,False,normal,263,skyblue,10
84,11,246,False,normal,264,skyblue,10
12,11,246,False,normal,265,skyblue,10
68,11,246,False,normal,266,skyblue,10
462,11,246,False,normal,267,skyblue,10
425,11,246,False,normal,268,skyblue,10
284,10,270,False,normal,269,skyblue,10
143,10,270,False,normal,270,skyblue,10
544,10,270,False,normal,271,skyblue,10
233,10,270,False,normal,272,skyblue,10
500,10,270,False,normal,273,skyblue,10
154,10,270,False,normal,274,skyblue,10
189,10,270,False,normal,275,skyblue,10
280,10,270,False,normal,276,skyblue,10
107,10,270,False,normal,277,skyblue,10
478,10,270,False,normal,278,skyblue,10
318,10,270,False,normal,279,skyblue,10
228,10,270,False,normal,280,skyblue,10
392,10,270,False,normal,281,skyblue,10
333,10,270,False,normal,282,skyblue,10
358,10,270,False,normal,283,skyblue,10
479,10,270,False,normal,284,skyblue,10
397,10,270,False,normal,285,skyblue,10
404,10,270,False,normal,286,skyblue,10
109,10,270,False,normal,287,skyblue,10
426,10,270,False,normal,288,skyblue,10
62,10,270,False,normal,289,skyblue,10
450,10,270,False,normal,290,skyblue,10
102,10,270,False,normal,291,skyblue,10
48,9,293,False,normal,292,skyblue,10
8,9,293,False,normal,293,skyblue,10
459,9,293,False,normal,294,skyblue,10
460,9,293,False,normal,295,skyblue,10
202,9,293,False,normal,296,skyblue,10
219,9,293,False,normal,297,skyblue,10
464,9,293,False,normal,298,skyblue,10
297,9,293,False,normal,299,skyblue,10
388,9,293,False,normal,300,skyblue,10
499,9,293,False,normal,301,skyblue,10
226,9,293,False,normal,302,skyblue,10
64,9,293,False,normal,303,skyblue,10
20,9,293,False,normal,304,skyblue,10
316,9,293,False,normal,305,skyblue,10
339,9,293,False,normal,306,skyblue,10
271,9,293,False,normal,307,skyblue,10
455,9,293,False,normal,308,skyblue,10
91,9,293,False,normal,309,skyblue,10
139,9,293,False,normal,310,skyblue,10
354,9,293,False,normal,311,skyblue,10
387,9,293,False,normal,312,skyblue,10
520,8,314,False,normal,313,skyblue,10
131,8,314,False,normal,314,skyblue,10
239,8,314,False,normal,315,skyblue,10
185,8,314,False,normal,316,skyblue,10
383,8,314,False,normal,317,skyblue,10
444,8,314,False,normal,318,skyblue,10
522,8,314,False,normal,319,skyblue,10
471,8,314,False,normal,320,skyblue,10
121,8,314,False,normal,321,skyblue,10
342,8,314,False,normal,322,skyblue,10
177,8,314,False,normal,323,skyblue,10
17,8,314,False,normal,324,skyblue,10
396,8,314,False,normal,325,skyblue,10
469,8,314,False,normal,326,skyblue,10
448,8,314,False,normal,327,skyblue,10
