labcode,high_difficulty_count_2022,total_high_difficulty_projects_2022,high_difficulty_rank_2022,high_difficulty_rate_2022,is_special,x,color,size
14,5,5,1,100.0,False,0,skyblue,40
84,5,5,1,100.0,False,1,skyblue,40
16,4,5,3,80.0,False,2,skyblue,40
52,3,5,4,60.0,False,3,skyblue,40
68,3,5,4,60.0,False,4,skyblue,40
36,3,5,4,60.0,False,5,skyblue,40
217,3,5,4,60.0,False,6,skyblue,40
58,2,5,8,40.0,False,7,skyblue,40
13,2,5,8,40.0,False,8,skyblue,40
8,2,5,8,40.0,True,9,red,80
47,2,5,8,40.0,False,10,skyblue,40
83,2,5,8,40.0,False,11,skyblue,40
17,2,5,8,40.0,False,12,skyblue,40
97,2,5,8,40.0,False,13,skyblue,40
123,2,5,8,40.0,False,14,skyblue,40
119,2,5,8,40.0,False,15,skyblue,40
128,2,5,8,40.0,False,16,skyblue,40
118,2,5,8,40.0,False,17,skyblue,40
164,2,5,8,40.0,False,18,skyblue,40
133,2,5,8,40.0,False,19,skyblue,40
159,2,5,8,40.0,False,20,skyblue,40
156,2,5,8,40.0,False,21,skyblue,40
261,2,5,8,40.0,False,22,skyblue,40
171,2,5,8,40.0,False,23,skyblue,40
71,2,5,8,40.0,False,24,skyblue,40
7,2,5,8,40.0,False,25,skyblue,40
253,2,5,8,40.0,False,26,skyblue,40
24,1,5,28,20.0,False,27,skyblue,40
57,1,5,28,20.0,False,28,skyblue,40
177,1,5,28,20.0,False,29,skyblue,40
186,1,5,28,20.0,False,30,skyblue,40
92,1,5,28,20.0,False,31,skyblue,40
9,1,5,28,20.0,False,32,skyblue,40
87,1,5,28,20.0,False,33,skyblue,40
94,1,5,28,20.0,False,34,skyblue,40
96,1,5,28,20.0,False,35,skyblue,40
137,1,5,28,20.0,False,36,skyblue,40
140,1,5,28,20.0,False,37,skyblue,40
41,1,5,28,20.0,False,38,skyblue,40
60,1,5,28,20.0,False,39,skyblue,40
61,1,5,28,20.0,False,40,skyblue,40
62,1,5,28,20.0,False,41,skyblue,40
207,1,5,28,20.0,False,42,skyblue,40
187,1,5,28,20.0,False,43,skyblue,40
157,1,5,28,20.0,False,44,skyblue,40
146,1,5,28,20.0,False,45,skyblue,40
226,1,5,28,20.0,False,46,skyblue,40
247,1,5,28,20.0,False,47,skyblue,40
115,1,5,28,20.0,False,48,skyblue,40
130,1,5,28,20.0,False,49,skyblue,40
155,1,5,28,20.0,False,50,skyblue,40
163,1,5,28,20.0,False,51,skyblue,40
168,1,5,28,20.0,False,52,skyblue,40
216,1,5,28,20.0,False,53,skyblue,40
228,1,5,28,20.0,False,54,skyblue,40
231,1,5,28,20.0,False,55,skyblue,40
297,1,5,28,20.0,False,56,skyblue,40
6,1,5,28,20.0,False,57,skyblue,40
29,1,5,28,20.0,False,58,skyblue,40
32,1,5,28,20.0,False,59,skyblue,40
33,1,5,28,20.0,False,60,skyblue,40
39,1,5,28,20.0,False,61,skyblue,40
40,1,5,28,20.0,False,62,skyblue,40
49,1,5,28,20.0,False,63,skyblue,40
50,1,5,28,20.0,False,64,skyblue,40
59,1,5,28,20.0,False,65,skyblue,40
69,1,5,28,20.0,False,66,skyblue,40
72,1,5,28,20.0,False,67,skyblue,40
76,1,5,28,20.0,False,68,skyblue,40
88,1,5,28,20.0,False,69,skyblue,40
306,1,5,28,20.0,False,70,skyblue,40
309,1,5,28,20.0,False,71,skyblue,40
310,1,5,28,20.0,False,72,skyblue,40
312,1,5,28,20.0,False,73,skyblue,40
