Project,File,Score,Participants
Ac-228 Gamma Sediment,015_Labcode_1-516_Ac-228_Gamma_Sediment.xlsx,A,292
Ac-228 Gamma Soil,031_Labcode_1-516_Ac-228_Gamma_Soil.xlsx,A,294
Bi-212 Gamma Sediment,013_Labcode_5-515_Bi-212_Gamma_Sediment.xlsx,A,205
Bi-212 Gamma Soil,042_Labcode_5-515_Bi-212_Gamma_Soil.xlsx,A,200
Bi-214 Gamma Sediment,027_Labcode_1-515_Bi-214_Gamma_Sediment.xlsx,A,260
Bi-214 Gamma Soil,036_Labcode_1-515_Bi-214_Gamma_Soil.xlsx,A,264
Cs-134 Gamma Surface,043_Labcode_2-516_Cs-134_Gamma_Surface.xlsx,A,339
Eu-152 Gamma Water,001_Labcode_2-516_Eu-152_Gamma_Water.xlsx,A,382
Gross Alpha Water,045_Labcode_2-512_Gross_Alpha_Water.xlsx,A,234
Gross Beta Water,046_Labcode_1-512_Gross_Beta_Water.xlsx,A,241
H-3 Beta Water,008_Labcode_1-507_H-3_Beta_Water.xlsx,A,198
K-40 Gamma Sediment,021_Labcode_1-516_K-40_Gamma_Sediment.xlsx,A,381
Na-22 Gamma Water,010_Labcode_1-515_Na-22_Gamma_Water.xlsx,A,353
Pb-212 Gamma Sediment,014_Labcode_3-515_Pb-212_Gamma_Sediment.xlsx,A,269
Pb-212 Gamma Soil,032_Labcode_2-515_Pb-212_Gamma_Soil.xlsx,A,270
Pb-214 Gamma Sediment,022_Labcode_3-515_Pb-214_Gamma_Sediment.xlsx,A,256
Pb-214 Gamma Soil,037_Labcode_2-515_Pb-214_Gamma_Soil.xlsx,A,261
Po-210 Alpha Water,002_Labcode_2-506_Po-210_Alpha_Water.xlsx,A,77
Po-210 Alpha Water,004_Labcode_5-445_Po-210_Alpha_Water.xlsx,A,60
Ra-226 Alpha Water,011_Labcode_2-487_Ra-226_Alpha_Water.xlsx,A,107
Ra-226 Alpha Water,012_Labcode_2-515_Ra-226_Alpha_Water.xlsx,A,133
Ra-226 Gamma Sediment,023_Labcode_3-515_Ra-226_Gamma_Sediment.xlsx,A,279
Ra-226 Gamma Soil,038_Labcode_2-515_Ra-226_Gamma_Soil.xlsx,A,275
Sr-90 Beta SurFace,044_Labcode_2-514_Sr-90_Beta_SurFace.xlsx,A,197
Sr-90 Beta Water,009_Labcode_3-507_Sr-90_Beta_Water.xlsx,A,192
Th-234 Gamma Sediment,024_Labcode_5-515_Th-234_Gamma_Sediment.xlsx,A,138
Th-234 Gamma Soil,039_Labcode_2-515_Th-234_Gamma_Soil.xlsx,A,144
Tl-208 Gamma Sediment,018_Labcode_3-516_Tl-208_Gamma_Sediment.xlsx,A,233
Tl-208 Gamma Soil,033_Labcode_2-516_Tl-208_Gamma_Soil.xlsx,A,231
U ICP-MS Water,005_Labcode_3-484_Total_U_ICP-MS_Water.xlsx,A,76
U-235 ICP-MS Water,007_Labcode_3-484_U-235_ICP-MS_Water.xlsx,A,72
U-235 ICP-MS Water,006_Labcode_3-446_U-235_ICP-MS_Water.xlsx,A,60
