labcode,a_count_2022,total_count_2022,a_rate_2022,rank_2022,is_special,special_type,x,color,size
14,43,46,93.47826086956522,1,False,normal,0,skyblue,10
247,42,45,93.33333333333333,2,False,normal,1,skyblue,10
217,40,40,100.0,3,False,normal,2,skyblue,10
312,35,36,97.22222222222221,4,False,normal,3,skyblue,10
68,34,35,97.14285714285714,5,False,normal,4,skyblue,10
24,32,33,96.96969696969697,6,False,normal,5,skyblue,10
221,31,33,93.93939393939394,7,False,normal,6,skyblue,10
7,31,32,96.875,7,False,normal,7,skyblue,10
157,30,32,93.75,9,False,normal,8,skyblue,10
8,30,30,100.0,9,True,year_special,9,green,60
253,29,32,90.625,11,False,normal,10,skyblue,10
83,29,34,85.29411764705883,11,False,normal,11,skyblue,10
94,28,30,93.33333333333333,13,False,normal,12,skyblue,10
60,28,31,90.32258064516128,13,False,normal,13,skyblue,10
50,28,29,96.55172413793103,13,False,normal,14,skyblue,10
88,28,28,100.0,13,False,normal,15,skyblue,10
239,28,29,96.55172413793103,13,False,normal,16,skyblue,10
128,28,33,84.84848484848484,13,False,normal,17,skyblue,10
264,28,28,100.0,13,False,normal,18,skyblue,10
123,27,28,96.42857142857143,20,False,normal,19,skyblue,10
49,27,30,90.0,20,False,normal,20,skyblue,10
213,27,27,100.0,20,False,normal,21,skyblue,10
216,26,31,83.87096774193549,23,False,normal,22,skyblue,10
271,26,27,96.29629629629629,23,False,normal,23,skyblue,10
118,26,28,92.85714285714286,23,False,normal,24,skyblue,10
84,26,26,100.0,23,False,normal,25,skyblue,10
47,26,27,96.29629629629629,23,False,normal,26,skyblue,10
39,26,26,100.0,23,False,normal,27,skyblue,10
158,25,26,96.15384615384616,29,False,normal,28,skyblue,10
58,25,26,96.15384615384616,29,False,normal,29,skyblue,10
69,25,27,92.5925925925926,29,False,normal,30,skyblue,10
113,25,26,96.15384615384616,29,False,normal,31,skyblue,10
156,25,25,100.0,29,False,normal,32,skyblue,10
133,25,26,96.15384615384616,29,False,normal,33,skyblue,10
230,25,25,100.0,29,False,normal,34,skyblue,10
119,24,24,100.0,36,False,normal,35,skyblue,10
214,24,33,72.72727272727273,36,False,normal,36,skyblue,10
171,24,24,100.0,36,False,normal,37,skyblue,10
21,24,25,96.0,36,False,normal,38,skyblue,10
220,24,26,92.3076923076923,36,False,normal,39,skyblue,10
110,24,28,85.71428571428571,36,False,normal,40,skyblue,10
52,24,28,85.71428571428571,36,False,normal,41,skyblue,10
303,23,32,71.875,43,False,normal,42,skyblue,10
6,23,24,95.83333333333334,43,False,normal,43,skyblue,10
96,23,30,76.66666666666667,43,False,normal,44,skyblue,10
261,23,23,100.0,43,False,normal,45,skyblue,10
31,23,23,100.0,43,False,normal,46,skyblue,10
309,23,23,100.0,43,False,normal,47,skyblue,10
13,23,35,65.71428571428571,43,False,normal,48,skyblue,10
18,23,23,100.0,43,False,normal,49,skyblue,10
16,23,23,100.0,43,False,normal,50,skyblue,10
76,23,29,79.3103448275862,43,False,normal,51,skyblue,10
17,22,22,100.0,53,False,normal,52,skyblue,10
255,22,22,100.0,53,False,normal,53,skyblue,10
120,22,22,100.0,53,False,normal,54,skyblue,10
140,22,24,91.66666666666666,53,False,normal,55,skyblue,10
51,22,23,95.65217391304348,53,False,normal,56,skyblue,10
40,22,23,95.65217391304348,53,False,normal,57,skyblue,10
74,22,22,100.0,53,False,normal,58,skyblue,10
204,22,23,95.65217391304348,53,False,normal,59,skyblue,10
57,22,22,100.0,53,False,normal,60,skyblue,10
22,21,23,91.30434782608695,62,False,normal,61,skyblue,10
272,21,30,70.0,62,False,normal,62,skyblue,10
33,21,23,91.30434782608695,62,False,normal,63,skyblue,10
159,21,24,87.5,62,False,normal,64,skyblue,10
175,21,23,91.30434782608695,62,False,normal,65,skyblue,10
4,21,24,87.5,62,False,normal,66,skyblue,10
310,21,21,100.0,62,False,normal,67,skyblue,10
20,21,22,95.45454545454545,62,False,normal,68,skyblue,10
235,21,22,95.45454545454545,62,False,normal,69,skyblue,10
210,20,20,100.0,71,False,normal,70,skyblue,10
198,20,20,100.0,71,False,normal,71,skyblue,10
36,20,24,83.33333333333334,71,False,normal,72,skyblue,10
87,19,22,86.36363636363636,74,False,normal,73,skyblue,10
45,19,20,95.0,74,False,normal,74,skyblue,10
62,19,19,100.0,74,False,normal,75,skyblue,10
177,19,21,90.47619047619048,74,False,normal,76,skyblue,10
203,19,21,90.47619047619048,74,False,normal,77,skyblue,10
126,19,19,100.0,74,False,normal,78,skyblue,10
227,19,22,86.36363636363636,74,False,normal,79,skyblue,10
238,19,19,100.0,74,False,normal,80,skyblue,10
191,19,19,100.0,74,False,normal,81,skyblue,10
162,19,19,100.0,74,False,normal,82,skyblue,10
164,19,21,90.47619047619048,74,False,normal,83,skyblue,10
59,18,19,94.73684210526315,85,False,normal,84,skyblue,10
138,18,18,100.0,85,False,normal,85,skyblue,10
178,18,18,100.0,85,False,normal,86,skyblue,10
187,18,18,100.0,85,False,normal,87,skyblue,10
143,18,21,85.71428571428571,85,False,normal,88,skyblue,10
251,18,20,90.0,85,False,normal,89,skyblue,10
262,18,22,81.81818181818183,85,False,normal,90,skyblue,10
207,18,18,100.0,85,False,normal,91,skyblue,10
276,18,21,85.71428571428571,85,False,normal,92,skyblue,10
296,18,19,94.73684210526315,85,False,normal,93,skyblue,10
289,18,19,94.73684210526315,85,False,normal,94,skyblue,10
148,17,18,94.44444444444444,96,False,normal,95,skyblue,10
115,17,17,100.0,96,False,normal,96,skyblue,10
306,17,24,70.83333333333334,96,False,normal,97,skyblue,10
192,17,20,85.0,96,False,normal,98,skyblue,10
81,17,19,89.47368421052632,96,False,normal,99,skyblue,10
298,17,17,100.0,96,False,normal,100,skyblue,10
160,17,21,80.95238095238095,96,False,normal,101,skyblue,10
196,17,19,89.47368421052632,96,False,normal,102,skyblue,10
248,17,21,80.95238095238095,96,False,normal,103,skyblue,10
266,16,18,88.88888888888889,105,False,normal,104,skyblue,10
121,16,21,76.19047619047619,105,False,normal,105,skyblue,10
136,16,16,100.0,105,False,normal,106,skyblue,10
107,16,18,88.88888888888889,105,False,normal,107,skyblue,10
41,16,17,94.11764705882352,105,False,normal,108,skyblue,10
32,16,22,72.72727272727273,105,False,normal,109,skyblue,10
28,16,19,84.21052631578947,105,False,normal,110,skyblue,10
173,16,19,84.21052631578947,105,False,normal,111,skyblue,10
202,16,16,100.0,105,False,normal,112,skyblue,10
281,16,17,94.11764705882352,105,False,normal,113,skyblue,10
226,16,16,100.0,105,False,normal,114,skyblue,10
250,16,26,61.53846153846154,105,False,normal,115,skyblue,10
163,16,26,61.53846153846154,105,False,normal,116,skyblue,10
132,15,17,88.23529411764706,118,False,normal,117,skyblue,10
284,15,23,65.21739130434783,118,False,normal,118,skyblue,10
