labcode,count_2024,rank_2024,is_special,special_type,x,color,size
160,39,1,False,normal,0,skyblue,10
287,38,2,False,normal,1,skyblue,10
116,38,2,False,normal,2,skyblue,10
148,38,2,False,normal,3,skyblue,10
224,38,2,False,normal,4,skyblue,10
317,37,6,False,normal,5,skyblue,10
269,37,6,False,normal,6,skyblue,10
184,37,6,False,normal,7,skyblue,10
145,37,6,False,normal,8,skyblue,10
397,37,6,False,normal,9,skyblue,10
43,37,6,False,normal,10,skyblue,10
354,36,12,False,normal,11,skyblue,10
301,36,12,False,normal,12,skyblue,10
150,36,12,False,normal,13,skyblue,10
21,36,12,False,normal,14,skyblue,10
418,35,16,False,normal,15,skyblue,10
53,35,16,False,normal,16,skyblue,10
39,35,16,False,normal,17,skyblue,10
344,35,16,False,normal,18,skyblue,10
310,35,16,False,normal,19,skyblue,10
176,35,16,False,normal,20,skyblue,10
345,34,22,False,normal,21,skyblue,10
209,34,22,False,normal,22,skyblue,10
82,34,22,False,normal,23,skyblue,10
33,34,22,False,normal,24,skyblue,10
74,34,22,False,normal,25,skyblue,10
341,34,22,False,normal,26,skyblue,10
441,33,28,False,normal,27,skyblue,10
507,33,28,False,normal,28,skyblue,10
315,33,28,False,normal,29,skyblue,10
195,33,28,False,normal,30,skyblue,10
178,33,28,False,normal,31,skyblue,10
159,33,28,False,normal,32,skyblue,10
56,33,28,False,normal,33,skyblue,10
210,33,28,False,normal,34,skyblue,10
121,32,36,False,normal,35,skyblue,10
152,32,36,False,normal,36,skyblue,10
218,32,36,False,normal,37,skyblue,10
306,32,36,False,normal,38,skyblue,10
151,32,36,False,normal,39,skyblue,10
5,32,36,True,year_special,40,orange,60
334,32,36,False,normal,41,skyblue,10
446,32,36,False,normal,42,skyblue,10
313,32,36,False,normal,43,skyblue,10
443,32,36,False,normal,44,skyblue,10
219,32,36,False,normal,45,skyblue,10
196,32,36,False,normal,46,skyblue,10
226,32,36,False,normal,47,skyblue,10
465,32,36,False,normal,48,skyblue,10
346,31,50,False,normal,49,skyblue,10
22,31,50,False,normal,50,skyblue,10
220,31,50,False,normal,51,skyblue,10
68,31,50,False,normal,52,skyblue,10
328,31,50,False,normal,53,skyblue,10
188,31,50,False,normal,54,skyblue,10
133,31,50,False,normal,55,skyblue,10
347,31,50,False,normal,56,skyblue,10
78,31,50,False,normal,57,skyblue,10
108,31,50,False,normal,58,skyblue,10
425,30,60,False,normal,59,skyblue,10
62,30,60,False,normal,60,skyblue,10
281,30,60,False,normal,61,skyblue,10
117,30,60,False,normal,62,skyblue,10
464,30,60,False,normal,63,skyblue,10
37,30,60,False,normal,64,skyblue,10
16,30,60,False,normal,65,skyblue,10
270,30,60,False,normal,66,skyblue,10
162,30,60,False,normal,67,skyblue,10
212,30,60,False,normal,68,skyblue,10
370,30,60,False,normal,69,skyblue,10
84,30,60,False,normal,70,skyblue,10
419,29,72,False,normal,71,skyblue,10
140,29,72,False,normal,72,skyblue,10
338,29,72,False,normal,73,skyblue,10
371,29,72,False,normal,74,skyblue,10
158,29,72,False,normal,75,skyblue,10
80,29,72,False,normal,76,skyblue,10
274,29,72,False,normal,77,skyblue,10
147,29,72,False,normal,78,skyblue,10
44,29,72,False,normal,79,skyblue,10
3,29,72,False,normal,80,skyblue,10
24,29,72,False,normal,81,skyblue,10
268,29,72,False,normal,82,skyblue,10
415,29,72,False,normal,83,skyblue,10
362,29,72,False,normal,84,skyblue,10
14,29,72,False,normal,85,skyblue,10
40,29,72,False,normal,86,skyblue,10
275,29,72,False,normal,87,skyblue,10
303,28,89,False,normal,88,skyblue,10
234,28,89,False,normal,89,skyblue,10
308,28,89,False,normal,90,skyblue,10
156,28,89,False,normal,91,skyblue,10
113,28,89,False,normal,92,skyblue,10
247,28,89,False,normal,93,skyblue,10
100,28,89,False,normal,94,skyblue,10
324,28,89,False,normal,95,skyblue,10
245,28,89,False,normal,96,skyblue,10
461,28,89,False,normal,97,skyblue,10
490,27,99,False,normal,98,skyblue,10
85,27,99,False,normal,99,skyblue,10
94,27,99,False,normal,100,skyblue,10
501,27,99,False,normal,101,skyblue,10
157,27,99,False,normal,102,skyblue,10
222,27,99,False,normal,103,skyblue,10
207,27,99,False,normal,104,skyblue,10
225,27,99,False,normal,105,skyblue,10
70,27,99,False,normal,106,skyblue,10
263,27,99,False,normal,107,skyblue,10
164,27,99,False,normal,108,skyblue,10
161,27,99,False,normal,109,skyblue,10
412,27,99,False,normal,110,skyblue,10
87,27,99,False,normal,111,skyblue,10
385,27,99,False,normal,112,skyblue,10
484,27,99,False,normal,113,skyblue,10
163,27,99,False,normal,114,skyblue,10
138,27,99,False,normal,115,skyblue,10
416,27,99,False,normal,116,skyblue,10
321,27,99,False,normal,117,skyblue,10
125,26,119,False,normal,118,skyblue,10
122,26,119,False,normal,119,skyblue,10
386,26,119,False,normal,120,skyblue,10
89,26,119,False,normal,121,skyblue,10
414,26,119,False,normal,122,skyblue,10
58,26,119,False,normal,123,skyblue,10
202,26,119,False,normal,124,skyblue,10
55,26,119,False,normal,125,skyblue,10
264,26,119,False,normal,126,skyblue,10
298,26,119,False,normal,127,skyblue,10
355,26,119,False,normal,128,skyblue,10
76,26,119,False,normal,129,skyblue,10
445,26,119,False,normal,130,skyblue,10
311,26,119,False,normal,131,skyblue,10
