labcode,bias_mean_2023,bias_variance_2023,bias_std_2023,n_projects_2023,total_participation_2023,rank_2023,is_special,special_type,x
276,0.965,0.810725,0.9004026876903467,4,4,1,False,normal,0
139,1.116,0.593064,0.7701064861433126,5,5,2,False,normal,1
150,1.482,0.6161760000000001,0.784968789188462,5,5,3,False,normal,2
114,1.7741666666666667,1.5611243055555557,1.2494496010466192,12,12,4,False,normal,3
291,2.03,3.782666666666666,1.9449078812804133,9,9,5,False,normal,4
329,2.0533333333333332,2.119955555555556,1.4560067154912286,9,9,6,False,normal,5
3,2.244,0.331384,0.575659621651545,5,5,7,False,normal,6
95,2.3144444444444447,2.5550691358024697,1.5984583622360857,9,9,8,False,normal,7
49,2.3316666666666666,2.215147222222222,1.488337066064748,6,6,9,False,normal,8
50,2.4714285714285715,1.3554122448979589,1.1642217335619358,7,7,10,False,normal,9
269,2.59,2.2738799999999992,1.507938990808315,5,5,11,False,normal,10
267,2.76,0.0,0.0,1,1,12,False,normal,11
10,3.1453333333333333,16.141211555555554,4.0176126686821805,15,15,13,False,normal,12
44,3.17625,7.4365359374999995,2.7270012720019037,16,16,14,False,normal,13
24,3.2325,5.55766875,2.3574708375714852,4,4,15,False,normal,14
59,3.2700000000000005,8.675,2.9453352950046283,5,5,16,False,normal,15
290,3.372727272727273,10.599165289256197,3.2556359270127544,11,11,17,False,normal,16
105,3.5058823529411764,4.4926712802768165,2.119592243870697,17,17,18,False,normal,17
134,3.704285714285714,13.458938775510205,3.668642633932911,14,14,19,False,normal,18
274,3.726,5.1872240000000005,2.277547804108621,5,5,20,False,normal,19
18,3.7307692307692313,13.179145562130177,3.630309292901939,13,13,21,False,normal,20
64,3.744444444444445,6.973846913580248,2.6408042171998,9,9,22,False,normal,21
156,3.7966666666666664,11.998302222222224,3.4638565533552663,15,15,23,False,normal,22
303,3.808181818181818,3.45654214876033,1.8591778152614478,11,11,24,False,normal,23
169,3.853,3.703220999999999,1.9243754831113389,10,10,25,False,normal,24
60,3.8760000000000003,5.160303999999999,2.27163025160346,10,10,26,False,normal,25
32,3.882857142857143,7.073877551020409,2.659676211688259,7,7,27,False,normal,26
231,3.928,6.5646960000000005,2.5621662709512045,5,5,28,False,normal,27
250,3.9625,18.487368749999995,4.299694029811889,4,4,29,False,normal,28
248,4.0064,11.660983040000001,3.4148181562127142,25,25,30,False,normal,29
255,4.037142857142857,23.408048979591836,4.838186538321134,7,7,31,False,normal,30
327,4.085,10.945075000000001,3.3083341729637894,8,8,32,False,normal,31
43,4.125909090909091,33.960287809917354,5.827545607708047,22,22,33,True,year_special,32
141,4.230666666666667,13.937579555555553,3.733306785619895,15,15,34,False,normal,33
2,4.30625,8.9037609375,2.983917046015187,16,16,35,False,normal,34
175,4.325,8.497225,2.915,2,2,36,False,normal,35
100,4.333333333333333,3.5259555555555564,1.8777527940481293,3,3,37,False,normal,36
71,4.370666666666668,15.262672888888888,3.906747098148137,15,15,38,False,normal,37
17,4.4745,16.18827475,4.023465514951011,20,20,39,False,normal,38
122,4.5086666666666675,20.790104888888887,4.559616748027063,15,15,40,False,normal,39
5,4.567142857142857,20.109991836734697,4.484416554774399,14,14,41,False,normal,40
300,4.591666666666667,18.520302777777776,4.303522136317853,18,18,42,False,normal,41
256,4.601999999999999,10.547656,3.2477155047817843,5,5,43,False,normal,42
11,4.616666666666666,15.145955555555556,3.8917805122534284,18,18,44,False,normal,43
81,4.658333333333333,18.30431388888889,4.278354109805416,18,18,45,False,normal,44
316,4.675,12.389905,3.519929686797735,10,10,46,False,normal,45
237,4.718571428571429,21.449697959183677,4.6313818628119705,7,7,47,False,normal,46
148,4.762222222222222,10.281483950617286,3.206475315766096,9,9,48,False,normal,47
119,4.927368421052631,17.817282548476452,4.221052303451883,19,19,49,False,normal,48
244,4.928333333333334,23.875197222222216,4.886225252914791,12,12,50,False,normal,49
22,4.963749999999999,15.2125484375,3.9003267090719467,16,16,51,False,normal,50
51,5.018333333333333,11.30679722222222,3.3625581366308332,12,12,52,False,normal,51
180,5.07,85.38449565217392,9.240373133817375,23,23,53,False,normal,52
130,5.200526315789474,40.740331301939065,6.382815311595587,19,19,54,False,normal,53
137,5.237,4.174561,2.043174246118035,10,10,55,False,normal,54
268,5.348076923076922,28.226769378698222,5.312887103891652,26,26,56,False,normal,55
258,5.356111111111111,14.796112654320988,3.8465715454571994,18,18,57,False,normal,56
328,5.4,18.053777777777775,4.24897373230028,18,18,58,False,normal,57
35,5.401875,30.459915234375,5.519050211256915,16,16,59,False,normal,58
179,5.408181818181818,49.76912396694215,7.054723521651444,11,11,60,False,normal,59
209,5.430666666666667,22.702739555555556,4.764739190717112,15,15,61,False,normal,60
120,5.522142857142858,20.214588265306123,4.496063641153906,14,14,62,False,normal,61
36,5.5275,32.61505208333334,5.710958946038164,12,12,63,False,normal,62
55,5.587692307692308,17.842002366863902,4.223979446785211,13,13,64,False,normal,63
284,5.603333333333333,14.348222222222224,3.7879047271839115,6,6,65,False,normal,64
168,5.6066666666666665,25.79710555555556,5.079085110091734,12,12,66,False,normal,65
128,5.632857142857143,61.50399183673468,7.842448076763701,7,7,67,False,normal,66
