labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note
9,0.0,0.0,0.0,1,1,1,False,
56,0.0,0.0,0.0,1,1,1,False,
53,0.0,0.0,0.0,1,1,1,False,
122,0.0,0.0,0.0,1,1,1,False,
258,0.0,0.0,0.0,1,1,1,False,
260,0.0,0.0,0.0,1,1,1,False,
456,0.0,0.0,0.0,1,1,1,False,
386,0.0,0.0,0.0,1,1,1,False,
179,0.31,0.0,0.0,1,1,9,False,
97,0.41,0.0,0.0,1,1,10,False,
174,0.51,0.0,0.0,1,1,11,False,
5,0.51,0.0,0.0,1,1,11,True,2024 Special Lab
44,0.51,0.0,0.0,1,1,11,False,
395,0.51,0.0,0.0,1,1,11,False,
86,0.87,0.0,0.0,1,1,15,False,
58,1.03,0.0,0.0,1,1,16,False,
354,1.03,0.0,0.0,1,1,16,False,
238,1.03,0.0,0.0,1,1,16,False,
453,1.03,0.0,0.0,1,1,16,False,
6,1.08,0.0,0.0,1,1,20,False,
1,1.28,0.0,0.0,1,1,21,False,
382,1.44,0.0,0.0,1,1,22,False,
74,1.54,0.0,0.0,1,1,23,False,
41,1.54,0.0,0.0,1,1,23,False,
171,1.54,0.0,0.0,1,1,23,False,
412,1.54,0.0,0.0,1,1,23,False,
26,1.54,0.0,0.0,1,1,23,False,
347,2.05,0.0,0.0,1,1,28,False,
214,2.05,0.0,0.0,1,1,28,False,
304,2.05,0.0,0.0,1,1,28,False,
397,2.05,0.0,0.0,1,1,28,False,
334,2.05,0.0,0.0,1,1,28,False,
476,2.05,0.0,0.0,1,1,28,False,
474,2.05,0.0,0.0,1,1,28,False,
4,2.31,0.0,0.0,1,1,35,False,
422,2.56,0.0,0.0,1,1,36,False,
421,2.56,0.0,0.0,1,1,36,False,
428,2.56,0.0,0.0,1,1,36,False,
378,2.56,0.0,0.0,1,1,36,False,
210,2.56,0.0,0.0,1,1,36,False,
242,2.56,0.0,0.0,1,1,36,False,
