labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note,x
9,0.0,0.0,0.0,1,1,1,False,,0
56,0.0,0.0,0.0,1,1,1,False,,1
53,0.0,0.0,0.0,1,1,1,False,,2
122,0.0,0.0,0.0,1,1,1,False,,3
258,0.0,0.0,0.0,1,1,1,False,,4
260,0.0,0.0,0.0,1,1,1,False,,5
456,0.0,0.0,0.0,1,1,1,False,,6
386,0.0,0.0,0.0,1,1,1,False,,7
179,0.31,0.0,0.0,1,1,9,False,,8
97,0.41,0.0,0.0,1,1,10,False,,9
174,0.51,0.0,0.0,1,1,11,False,,10
5,0.51,0.0,0.0,1,1,11,True,2024 Special Lab,11
44,0.51,0.0,0.0,1,1,11,False,,12
395,0.51,0.0,0.0,1,1,11,False,,13
86,0.87,0.0,0.0,1,1,15,False,,14
58,1.03,0.0,0.0,1,1,16,False,,15
354,1.03,0.0,0.0,1,1,16,False,,16
238,1.03,0.0,0.0,1,1,16,False,,17
453,1.03,0.0,0.0,1,1,16,False,,18
6,1.08,0.0,0.0,1,1,20,False,,19
1,1.28,0.0,0.0,1,1,21,False,,20
382,1.44,0.0,0.0,1,1,22,False,,21
74,1.54,0.0,0.0,1,1,23,False,,22
41,1.54,0.0,0.0,1,1,23,False,,23
171,1.54,0.0,0.0,1,1,23,False,,24
412,1.54,0.0,0.0,1,1,23,False,,25
26,1.54,0.0,0.0,1,1,23,False,,26
347,2.05,0.0,0.0,1,1,28,False,,27
214,2.05,0.0,0.0,1,1,28,False,,28
304,2.05,0.0,0.0,1,1,28,False,,29
397,2.05,0.0,0.0,1,1,28,False,,30
334,2.05,0.0,0.0,1,1,28,False,,31
476,2.05,0.0,0.0,1,1,28,False,,32
474,2.05,0.0,0.0,1,1,28,False,,33
4,2.31,0.0,0.0,1,1,35,False,,34
422,2.56,0.0,0.0,1,1,36,False,,35
421,2.56,0.0,0.0,1,1,36,False,,36
428,2.56,0.0,0.0,1,1,36,False,,37
378,2.56,0.0,0.0,1,1,36,False,,38
210,2.56,0.0,0.0,1,1,36,False,,39
242,2.56,0.0,0.0,1,1,36,False,,40
306,2.56,0.0,0.0,1,1,36,False,,41
50,2.56,0.0,0.0,1,1,36,False,,42
467,2.56,0.0,0.0,1,1,36,False,,43
25,2.82,0.0,0.0,1,1,45,False,,44
264,2.83,0.0,0.0,1,1,46,False,,45
147,2.87,0.0,0.0,1,1,47,False,,46
312,3.08,0.0,0.0,1,1,48,False,,47
229,3.08,0.0,0.0,1,1,48,False,,48
340,3.08,0.0,0.0,1,1,48,False,,49
114,3.08,0.0,0.0,1,1,48,False,,50
112,3.08,0.0,0.0,1,1,48,False,,51
414,3.59,0.0,0.0,1,1,53,False,,52
84,3.59,0.0,0.0,1,1,53,False,,53
18,3.59,0.0,0.0,1,1,53,False,,54
81,3.64,0.0,0.0,1,1,56,False,,55
29,4.1,0.0,0.0,1,1,57,False,,56
218,4.1,0.0,0.0,1,1,57,False,,57
455,4.1,0.0,0.0,1,1,57,False,,58
390,4.1,0.0,0.0,1,1,57,False,,59
72,4.1,0.0,0.0,1,1,57,False,,60
216,4.15,0.0,0.0,1,1,62,False,,61
54,4.51,0.0,0.0,1,1,63,False,,62
230,4.62,0.0,0.0,1,1,64,False,,63
346,4.62,0.0,0.0,1,1,64,False,,64
461,4.87,0.0,0.0,1,1,66,False,,65
76,5.13,0.0,0.0,1,1,67,False,,66
40,5.13,0.0,0.0,1,1,67,False,,67
71,5.13,0.0,0.0,1,1,67,False,,68
404,5.13,0.0,0.0,1,1,67,False,,69
315,5.13,0.0,0.0,1,1,67,False,,70
388,5.13,0.0,0.0,1,1,67,False,,71
14,5.33,0.0,0.0,1,1,73,False,,72
39,5.44,0.0,0.0,1,1,74,False,,73
367,5.64,0.0,0.0,1,1,75,False,,74
501,5.64,0.0,0.0,1,1,75,False,,75
223,5.64,0.0,0.0,1,1,75,False,,76
375,5.9,0.0,0.0,1,1,78,False,,77
349,5.9,0.0,0.0,1,1,78,False,,78
148,6.05,0.0,0.0,1,1,80,False,,79
100,6.15,0.0,0.0,1,1,81,False,,80
379,6.67,0.0,0.0,1,1,82,False,,81
158,6.67,0.0,0.0,1,1,82,False,,82
256,6.67,0.0,0.0,1,1,82,False,,83
166,6.67,0.0,0.0,1,1,82,False,,84
3,6.67,0.0,0.0,1,1,82,False,,85
399,7.18,0.0,0.0,1,1,87,False,,86
431,7.18,0.0,0.0,1,1,87,False,,87
376,7.69,0.0,0.0,1,1,89,False,,88
329,7.69,0.0,0.0,1,1,89,False,,89
333,7.69,0.0,0.0,1,1,89,False,,90
353,7.69,0.0,0.0,1,1,89,False,,91
33,7.69,0.0,0.0,1,1,89,False,,92
156,8.21,0.0,0.0,1,1,94,False,,93
239,8.21,0.0,0.0,1,1,94,False,,94
129,8.21,0.0,0.0,1,1,94,False,,95
43,8.21,0.0,0.0,1,1,94,False,,96
45,8.21,0.0,0.0,1,1,94,False,,97
243,8.26,0.0,0.0,1,1,99,False,,98
