labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note
355,0.0,0.0,0.0,1,1,1,False,
379,0.0,0.0,0.0,1,1,1,False,
329,0.0,0.0,0.0,1,1,1,False,
501,0.0,0.0,0.0,1,1,1,False,
312,0.0,0.0,0.0,1,1,1,False,
32,0.08,0.0,0.0,1,1,6,False,
118,0.38,0.0,0.0,1,1,7,False,
84,0.42,0.0,0.0,1,1,8,False,
446,0.42,0.0,0.0,1,1,8,False,
179,0.47,0.0,0.0,1,1,10,False,
5,0.51,0.0,0.0,1,1,11,True,2024 Special Lab
108,0.59,0.0,0.0,1,1,12,False,
65,0.79,0.0,0.0,1,1,13,False,
112,0.85,0.0,0.0,1,1,14,False,
239,0.85,0.0,0.0,1,1,14,False,
18,0.85,0.0,0.0,1,1,14,False,
419,0.85,0.0,0.0,1,1,14,False,
433,1.06,0.0,0.0,1,1,18,False,
310,1.23,0.0,0.0,1,1,19,False,
76,1.27,0.0,0.0,1,1,20,False,
414,1.27,0.0,0.0,1,1,20,False,
440,1.27,0.0,0.0,1,1,20,False,
333,1.27,0.0,0.0,1,1,20,False,
69,1.27,0.0,0.0,1,1,20,False,
148,1.27,0.0,0.0,1,1,20,False,
240,1.27,0.0,0.0,1,1,20,False,
29,1.27,0.0,0.0,1,1,20,False,
253,1.27,0.0,0.0,1,1,20,False,
23,1.4,0.0,0.0,1,1,29,False,
74,1.69,0.0,0.0,1,1,30,False,
152,1.69,0.0,0.0,1,1,30,False,
62,1.69,0.0,0.0,1,1,30,False,
4,1.78,0.0,0.0,1,1,33,False,
63,1.99,0.0,0.0,1,1,34,False,
474,2.12,0.0,0.0,1,1,35,False,
422,2.12,0.0,0.0,1,1,35,False,
203,2.12,0.0,0.0,1,1,35,False,
218,2.12,0.0,0.0,1,1,35,False,
45,2.12,0.0,0.0,1,1,35,False,
6,2.12,0.0,0.0,1,1,35,False,
245,2.12,0.0,0.0,1,1,35,False,
119,2.12,0.0,0.0,1,1,35,False,
59,2.12,0.0,0.0,1,1,35,False,
78,2.2,0.0,0.0,1,1,44,False,
3,2.54,0.0,0.0,1,1,45,False,
53,2.54,0.0,0.0,1,1,45,False,
107,2.54,0.0,0.0,1,1,45,False,
120,2.54,0.0,0.0,1,1,45,False,
259,2.97,0.0,0.0,1,1,49,False,
262,2.97,0.0,0.0,1,1,49,False,
188,2.97,0.0,0.0,1,1,49,False,
70,3.14,0.0,0.0,1,1,52,False,
7,3.31,0.0,0.0,1,1,53,False,
347,3.39,0.0,0.0,1,1,54,False,
399,3.39,0.0,0.0,1,1,54,False,
250,3.39,0.0,0.0,1,1,54,False,
304,3.39,0.0,0.0,1,1,54,False,
210,3.39,0.0,0.0,1,1,54,False,
473,3.39,0.0,0.0,1,1,54,False,
431,3.39,0.0,0.0,1,1,54,False,
308,3.64,0.0,0.0,1,1,61,False,
213,3.81,0.0,0.0,1,1,62,False,
44,3.81,0.0,0.0,1,1,62,False,
9,3.81,0.0,0.0,1,1,62,False,
345,3.81,0.0,0.0,1,1,62,False,
353,3.81,0.0,0.0,1,1,62,False,
258,3.81,0.0,0.0,1,1,62,False,
453,3.81,0.0,0.0,1,1,62,False,
298,3.81,0.0,0.0,1,1,62,False,
77,3.86,0.0,0.0,1,1,70,False,
382,4.07,0.0,0.0,1,1,71,False,
287,4.24,0.0,0.0,1,1,72,False,
230,4.24,0.0,0.0,1,1,72,False,
443,4.24,0.0,0.0,1,1,72,False,
224,4.62,0.0,0.0,1,1,75,False,
418,4.66,0.0,0.0,1,1,76,False,
86,4.66,0.0,0.0,1,1,76,False,
144,4.66,0.0,0.0,1,1,76,False,
30,4.66,0.0,0.0,1,1,76,False,
315,4.66,0.0,0.0,1,1,76,False,
184,4.66,0.0,0.0,1,1,76,False,
33,4.66,0.0,0.0,1,1,76,False,
166,4.66,0.0,0.0,1,1,76,False,
39,4.79,0.0,0.0,1,1,84,False,
301,5.08,0.0,0.0,1,1,85,False,
314,5.08,0.0,0.0,1,1,85,False,
346,5.08,0.0,0.0,1,1,85,False,
217,5.08,0.0,0.0,1,1,85,False,
8,5.17,0.0,0.0,1,1,89,False,
300,5.51,0.0,0.0,1,1,90,False,
252,5.51,0.0,0.0,1,1,90,False,
377,5.51,0.0,0.0,1,1,90,False,
412,5.51,0.0,0.0,1,1,90,False,
158,5.51,0.0,0.0,1,1,90,False,
103,5.51,0.0,0.0,1,1,90,False,
89,5.51,0.0,0.0,1,1,90,False,
282,5.55,0.0,0.0,1,1,97,False,
116,5.59,0.0,0.0,1,1,98,False,
99,5.93,0.0,0.0,1,1,99,False,
122,5.93,0.0,0.0,1,1,99,False,
160,5.93,0.0,0.0,1,1,99,False,
225,6.06,0.0,0.0,1,1,102,False,
402,6.36,0.0,0.0,1,1,103,False,
195,6.36,0.0,0.0,1,1,103,False,
41,6.36,0.0,0.0,1,1,103,False,
28,6.36,0.0,0.0,1,1,103,False,
56,6.36,0.0,0.0,1,1,103,False,
117,6.36,0.0,0.0,1,1,103,False,
98,6.78,0.0,0.0,1,1,109,False,
229,6.78,0.0,0.0,1,1,109,False,
242,6.78,0.0,0.0,1,1,109,False,
390,7.2,0.0,0.0,1,1,112,False,
264,7.21,0.0,0.0,1,1,113,False,
344,7.63,0.0,0.0,1,1,114,False,
50,7.63,0.0,0.0,1,1,114,False,
72,7.63,0.0,0.0,1,1,114,False,
367,7.63,0.0,0.0,1,1,114,False,
21,8.05,0.0,0.0,1,1,118,False,
214,8.05,0.0,0.0,1,1,118,False,
171,8.05,0.0,0.0,1,1,118,False,
447,8.47,0.0,0.0,1,1,121,False,
358,8.47,0.0,0.0,1,1,121,False,
456,8.47,0.0,0.0,1,1,121,False,
164,8.47,0.0,0.0,1,1,121,False,
238,8.9,0.0,0.0,1,1,125,False,
106,8.9,0.0,0.0,1,1,125,False,
317,8.9,0.0,0.0,1,1,125,False,
85,9.32,0.0,0.0,1,1,128,False,
174,9.32,0.0,0.0,1,1,128,False,
145,9.75,0.0,0.0,1,1,130,False,
209,10.17,0.0,0.0,1,1,131,False,
270,10.17,0.0,0.0,1,1,131,False,
395,10.17,0.0,0.0,1,1,131,False,
389,10.17,0.0,0.0,1,1,131,False,
467,10.34,0.0,0.0,1,1,135,False,
306,10.42,0.0,0.0,1,1,136,False,
24,10.59,0.0,0.0,1,1,137,False,
58,10.85,0.0,0.0,1,1,138,False,
274,11.02,0.0,0.0,1,1,139,False,
269,11.02,0.0,0.0,1,1,139,False,
93,11.44,0.0,0.0,1,1,141,False,
121,11.86,0.0,0.0,1,1,142,False,
472,12.29,0.0,0.0,1,1,143,False,
378,12.29,0.0,0.0,1,1,143,False,
375,12.33,0.0,0.0,1,1,145,False,
234,13.98,0.0,0.0,1,1,146,False,
421,14.41,0.0,0.0,1,1,147,False,
476,15.25,0.0,0.0,1,1,148,False,
26,16.1,0.0,0.0,1,1,149,False,
359,16.1,0.0,0.0,1,1,149,False,
129,16.1,0.0,0.0,1,1,149,False,
268,16.31,0.0,0.0,1,1,152,False,
226,16.95,0.0,0.0,1,1,153,False,
285,18.22,0.0,0.0,1,1,154,False,
507,18.22,0.0,0.0,1,1,154,False,
43,18.22,0.0,0.0,1,1,154,False,
416,18.43,0.0,0.0,1,1,157,False,
64,18.6,0.0,0.0,1,1,158,False,
330,20.17,0.0,0.0,1,1,159,False,
25,20.56,0.0,0.0,1,1,160,False,
313,20.76,0.0,0.0,1,1,161,False,
437,20.76,0.0,0.0,1,1,161,False,
168,21.19,0.0,0.0,1,1,163,False,
151,22.2,0.0,0.0,1,1,164,False,
219,22.88,0.0,0.0,1,1,165,False,
439,23.01,0.0,0.0,1,1,166,False,
341,23.73,0.0,0.0,1,1,167,False,
325,23.73,0.0,0.0,1,1,167,False,
302,27.54,0.0,0.0,1,1,169,False,
133,27.97,0.0,0.0,1,1,170,False,
340,27.97,0.0,0.0,1,1,170,False,
388,28.81,0.0,0.0,1,1,172,False,
256,30.08,0.0,0.0,1,1,173,False,
178,31.36,0.0,0.0,1,1,174,False,
434,31.65,0.0,0.0,1,1,175,False,
157,33.05,0.0,0.0,1,1,176,False,
374,35.17,0.0,0.0,1,1,177,False,
197,39.41,0.0,0.0,1,1,178,False,
484,39.83,0.0,0.0,1,1,179,False,
80,41.53,0.0,0.0,1,1,180,False,
40,41.82,0.0,0.0,1,1,181,False,
159,44.07,0.0,0.0,1,1,182,False,
424,44.49,0.0,0.0,1,1,183,False,
326,46.19,0.0,0.0,1,1,184,False,
349,46.44,0.0,0.0,1,1,185,False,
110,46.61,0.0,0.0,1,1,186,False,
505,47.75,0.0,0.0,1,1,187,False,
461,51.02,0.0,0.0,1,1,188,False,
17,51.27,0.0,0.0,1,1,189,False,
261,55.42,0.0,0.0,1,1,190,False,
147,61.36,0.0,0.0,1,1,191,False,
115,133.05,0.0,0.0,1,1,192,False,
