labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note,x
355,0.0,0.0,0.0,1,1,1,False,,0
379,0.0,0.0,0.0,1,1,1,False,,1
329,0.0,0.0,0.0,1,1,1,False,,2
501,0.0,0.0,0.0,1,1,1,False,,3
312,0.0,0.0,0.0,1,1,1,False,,4
32,0.08,0.0,0.0,1,1,6,False,,5
118,0.38,0.0,0.0,1,1,7,False,,6
84,0.42,0.0,0.0,1,1,8,False,,7
446,0.42,0.0,0.0,1,1,8,False,,8
179,0.47,0.0,0.0,1,1,10,False,,9
5,0.51,0.0,0.0,1,1,11,True,2024 Special Lab,10
108,0.59,0.0,0.0,1,1,12,False,,11
65,0.79,0.0,0.0,1,1,13,False,,12
112,0.85,0.0,0.0,1,1,14,False,,13
239,0.85,0.0,0.0,1,1,14,False,,14
18,0.85,0.0,0.0,1,1,14,False,,15
419,0.85,0.0,0.0,1,1,14,False,,16
433,1.06,0.0,0.0,1,1,18,False,,17
310,1.23,0.0,0.0,1,1,19,False,,18
76,1.27,0.0,0.0,1,1,20,False,,19
414,1.27,0.0,0.0,1,1,20,False,,20
440,1.27,0.0,0.0,1,1,20,False,,21
333,1.27,0.0,0.0,1,1,20,False,,22
69,1.27,0.0,0.0,1,1,20,False,,23
148,1.27,0.0,0.0,1,1,20,False,,24
240,1.27,0.0,0.0,1,1,20,False,,25
29,1.27,0.0,0.0,1,1,20,False,,26
253,1.27,0.0,0.0,1,1,20,False,,27
23,1.4,0.0,0.0,1,1,29,False,,28
74,1.69,0.0,0.0,1,1,30,False,,29
152,1.69,0.0,0.0,1,1,30,False,,30
62,1.69,0.0,0.0,1,1,30,False,,31
4,1.78,0.0,0.0,1,1,33,False,,32
63,1.99,0.0,0.0,1,1,34,False,,33
474,2.12,0.0,0.0,1,1,35,False,,34
422,2.12,0.0,0.0,1,1,35,False,,35
203,2.12,0.0,0.0,1,1,35,False,,36
218,2.12,0.0,0.0,1,1,35,False,,37
45,2.12,0.0,0.0,1,1,35,False,,38
6,2.12,0.0,0.0,1,1,35,False,,39
245,2.12,0.0,0.0,1,1,35,False,,40
119,2.12,0.0,0.0,1,1,35,False,,41
59,2.12,0.0,0.0,1,1,35,False,,42
78,2.2,0.0,0.0,1,1,44,False,,43
3,2.54,0.0,0.0,1,1,45,False,,44
53,2.54,0.0,0.0,1,1,45,False,,45
107,2.54,0.0,0.0,1,1,45,False,,46
120,2.54,0.0,0.0,1,1,45,False,,47
259,2.97,0.0,0.0,1,1,49,False,,48
262,2.97,0.0,0.0,1,1,49,False,,49
188,2.97,0.0,0.0,1,1,49,False,,50
70,3.14,0.0,0.0,1,1,52,False,,51
7,3.31,0.0,0.0,1,1,53,False,,52
347,3.39,0.0,0.0,1,1,54,False,,53
399,3.39,0.0,0.0,1,1,54,False,,54
250,3.39,0.0,0.0,1,1,54,False,,55
304,3.39,0.0,0.0,1,1,54,False,,56
